,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL-LSAHDE,1,1,11,11,1,9,7,1,1,1,1,1,1,8,8,11,10,9,1,1,9,11,11,10,136
LSHADE44+IDE,1,1,10,4,1,11,8,1,1,1,1,1,1,10,7,9,9,4,1,1,10,8,9,9,119
LSAHDE44,1,1,9,4,1,10,9,1,1,1,1,1,1,9,10,9,7,1,1,1,8,8,9,8,112
UDE,1,1,7,9,1,8,6,1,1,1,10,1,1,1,5,8,8,11,1,1,1,5,8,7,104
LSAHDE-IEpsilon,1,1,8,4,1,1,5,1,1,1,1,1,1,1,1,1,3,7,1,1,1,1,1,2,47
$\epsilon$MA$g$ES,1,1,1,10,1,1,4,1,1,1,1,1,1,1,11,1,3,10,1,1,1,5,1,2,62
IUDE,1,1,1,1,1,1,11,1,1,1,1,1,1,1,5,1,6,8,1,1,1,5,1,6,59
CORCO,1,1,1,4,1,1,10,1,11,1,11,11,1,11,9,1,1,5,11,1,11,10,1,5,121
DeCODE,1,1,1,4,1,1,2,1,1,1,9,1,1,1,1,7,11,6,1,1,1,1,6,11,72
HECO-DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,6,2,33
HECO-ES,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,29
