,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL-LSAHDE,1,1,11,11,11,7,10,11,10,11,7,1,11,7,8,11,11,9,10,11,9,10,11,9,209
LSHADE44+IDE,1,1,9,8,1,11,9,1,1,1,1,1,1,9,5,9,9,4,1,5,8,8,9,10,123
LSAHDE44,1,1,10,4,1,10,8,1,9,1,1,1,1,8,9,10,8,1,1,7,7,7,10,8,125
UDE,1,1,8,9,10,8,7,1,1,1,10,1,9,6,6,8,7,11,8,10,6,4,8,7,148
LSAHDE-IEpsilon,1,1,7,4,1,9,5,1,1,1,1,1,1,1,7,1,2,7,1,1,1,9,1,3,68
$\epsilon$MA$g$ES,1,1,1,10,1,6,4,1,1,1,5,11,8,11,11,1,2,10,8,7,10,6,1,4,122
IUDE,1,1,6,3,1,1,11,1,1,1,6,1,1,1,4,1,6,8,1,9,1,4,1,6,77
CORCO,1,1,1,4,1,1,10,1,11,1,11,11,1,11,9,1,1,5,11,1,11,10,1,5,121
DeCODE,1,1,1,4,1,1,2,1,1,1,9,1,1,1,1,7,11,6,1,1,1,1,6,11,72
HECO-DE,1,1,1,2,1,1,1,1,1,1,8,1,1,1,1,1,2,2,1,6,1,1,6,1,44
HECO-ES,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,29
