,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL-LSAHDE,10,10,11,11,5,5,11,11,9,10,6,5,10,11,11,11,10,11,10,8,11,11,11,8,227
LSHADE44+IDE,11,11,9,4,2,10,5,5,2,7,2,1,5,9,6,9,8,7,6,7,7,8,10,9,160
LSAHDE44,1,1,8,3,1,9,6,1,1,1,5,10,6,8,8,10,7,6,8,6,9,7,9,7,138
UDE,9,9,6,10,11,6,3,9,11,9,7,2,11,5,8,6,9,9,5,11,2,9,6,10,183
LSAHDE-IEpsilon,8,8,7,5,8,8,4,6,8,6,9,4,4,4,7,8,3,5,4,10,4,9,8,4,151
$\epsilon$MA$g$ES,1,1,1,8,10,3,2,3,10,3,3,8,3,7,10,1,2,10,8,4,8,5,1,2,114
IUDE,1,1,10,9,4,11,9,4,7,4,4,3,8,3,5,7,6,8,2,9,5,6,7,6,139
CORCO,1,1,1,6,7,2,9,7,3,9,10,11,1,11,4,1,5,4,11,10,6,1,3,5,129
DeCODE,1,1,1,7,5,5,10,9,3,7,11,6,2,7,3,5,11,5,1,2,11,3,5,11,132
HECO-DE,1,1,5,2,3,7,10,10,3,5,8,6,7,2,2,1,4,2,3,3,2,3,3,3,96
HECO-ES,1,1,1,1,9,1,1,2,3,2,1,9,2,1,1,1,1,1,7,1,1,1,1,1,51
