,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Best,1.11E-28,2.05E-27,2.74E-27,0.00E+00,0.00E+00,3.16E+01,-2.14E+03,-1.35E-04,-2.04E-03,-4.83E-05,-2.01E+00,6.22E+01,1.54E-28,1.10E+00,2.36E+00,0.00E+00,-9.01E-19,3.57E+01,3.68E-01,1.63E+00,4.90E+01,4.37E-28,1.10E+00,2.36E+00,1.79E-151,-9.03E-19,3.57E+01,3.05E-01
Median,1.40E-28,2.92E-27,3.92E-27,0.00E+00,0.00E+00,5.47E+01,-2.08E+03,-1.35E-04,-2.04E-03,-4.77E-05,-2.01E+00,6.22E+01,3.15E-27,1.10E+00,2.36E+00,0.00E+00,-8.93E-19,3.57E+01,4.36E-01,2.30E+00,6.22E+01,6.57E-28,1.10E+00,2.36E+00,6.60E-150,-8.87E-19,3.57E+01,7.18E-01
\overline{v},0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E+01,0.00E+00,3.61E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E+01,0.00E+00,3.61E+04
mean,1.40E-28,2.88E-27,3.95E-27,0.00E+00,0.00E+00,5.62E+01,-2.08E+03,-1.34E-04,-2.03E-03,-4.76E-05,-2.01E+00,6.22E+01,4.04E-27,1.10E+00,2.62E+00,0.00E+00,-8.91E-19,3.57E+01,4.53E-01,2.28E+00,6.16E+01,6.45E-28,1.10E+00,2.88E+00,1.77E-149,-8.79E-19,3.57E+01,7.05E-01
Worst,1.75E-28,3.58E-27,4.66E-27,0.00E+00,0.00E+00,8.23E+01,-1.99E+03,-1.31E-04,-2.02E-03,-4.58E-05,-1.95E+00,6.22E+01,1.53E-26,1.10E+00,5.50E+00,0.00E+00,-8.71E-19,3.57E+01,5.80E-01,3.29E+00,6.22E+01,7.56E-28,1.10E+00,5.50E+00,1.74E-148,-8.37E-19,3.57E+01,8.84E-01
Std,1.78E-29,3.65E-28,4.69E-28,0.00E+00,0.00E+00,1.18E+01,3.80E+01,6.58E-07,4.28E-06,6.85E-07,1.71E-02,1.65E-04,3.39E-27,1.73E-06,8.87E-01,0.00E+00,9.10E-21,6.19E-05,5.92E-02,3.90E-01,2.69E+00,7.78E-29,1.00E-06,1.20E+00,3.57E-149,1.90E-20,7.74E-05,1.14E-01
FR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0
\overline{vio},0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E+01,0.00E+00,3.61E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E+01,0.00E+00,3.61E+04
