,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL_LSAHDE,9,9,10,10,6,6,10,10,6,9,6,4,9,1,10,10,9,2,4,7,6,10,10,9,182
LSHADE44+IDE,10,10,9,2,2,9,7,6,2,8,5,1,5,10,4,8,6,7,7,6,7,6,9,6,152
LSAHDE44,1,1,8,2,3,8,8,1,1,1,3,10,7,9,8,9,7,6,7,5,9,6,8,7,135
UDE,8,8,5,9,10,5,3,9,8,10,7,1,10,6,8,5,8,9,6,10,1,6,5,8,165
LSAHDE_IEpsilon,7,7,6,5,7,7,5,7,7,6,9,4,4,5,4,7,3,5,4,9,4,6,7,4,139
MA_ES,1,1,1,7,9,3,2,3,10,4,1,6,2,8,4,1,2,10,7,4,8,4,1,2,101
IUDE,1,1,7,8,4,10,6,4,9,3,4,3,8,4,4,6,5,8,3,8,5,5,6,5,127
DeCODE,1,1,1,6,5,4,9,8,3,7,10,6,1,7,3,4,10,4,1,2,10,2,4,10,119
HECO-DE,1,1,4,2,1,2,4,5,3,5,8,6,6,1,2,1,4,3,2,3,1,2,3,3,73
HECO-ES,1,1,1,1,8,1,1,2,3,2,2,6,3,1,1,1,1,1,7,1,1,1,1,1,49
