,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Best,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.43E+02,-1.35E-03,-4.98E-03,-5.10E-04,-1.69E-01,3.99E+00,0.00E+00,2.38E+00,2.36E+00,0.00E+00,-1.62E-01,3.58E+01,3.60E-01,2.14E-01,3.99E+00,6.18E-30,2.38E+00,2.36E+00,6.89E-302,-1.62E-01,3.58E+01,3.81E-01
Median,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.21E+02,-1.35E-03,-4.98E-03,-5.10E-04,-1.69E-01,3.99E+00,0.00E+00,2.38E+00,2.36E+00,0.00E+00,-1.62E-01,3.58E+01,4.89E-01,3.55E-01,3.99E+00,6.18E-30,2.38E+00,2.36E+00,9.36E-299,-8.42E-07,3.58E+01,4.92E-01
\overline{v},0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.50E+00,0.00E+00,6.63E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.32E+00,0.00E+00,6.63E+03
mean,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.22E+02,-1.35E-03,-4.98E-03,-5.10E-04,-1.69E-01,3.99E+00,0.00E+00,2.38E+00,2.36E+00,0.00E+00,-1.01E-01,3.58E+01,4.85E-01,3.62E-01,3.99E+00,6.20E-30,2.38E+00,2.36E+00,5.81E-288,-6.75E-02,3.58E+01,4.94E-01
Worst,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-4.02E+02,-1.35E-03,-4.98E-03,-5.10E-04,-1.69E-01,3.99E+00,0.00E+00,2.38E+00,2.36E+00,0.00E+00,5.16E-07,3.58E+01,5.84E-01,5.67E-01,3.99E+00,6.82E-30,2.38E+00,2.36E+00,1.39E-286,5.03E-06,3.58E+01,5.99E-01
Std,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E+01,3.42E-09,1.00E-08,1.84E-09,2.42E-06,3.63E-06,0.00E+00,2.37E-06,1.84E-07,0.00E+00,8.00E-02,1.97E-04,5.06E-02,8.61E-02,3.11E-06,1.31E-31,3.77E-06,2.52E-07,0.00E+00,8.15E-02,2.51E-04,5.52E-02
FR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0
\overline{vio},0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.23E+00,0.00E+00,6.63E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.19E+00,0.00E+00,6.63E+03
