40000,0.8624672167854256,0.13753278321457452,15.0,15.0,2.882002450118563,0.1,0.1,0
80000,0.7351395564640149,0.2648604435359849,0.02523483257544079,0.02523483257544079,6.359939746775811e-05,0.1,0.1,0
120000,0.8977052016660833,0.10229479833391665,4.5901314216223454e-07,4.5901314216223454e-07,1.1568332768543136e-09,0.1,0.1,0
160000,0.7298011159799528,0.27019888402004727,4.197531211502792e-12,4.197531211502792e-12,1.0627485549008936e-14,0.1,0.1,0
200000,0.8691204199339423,0.13087958006605768,0.0,0.0,2.0609664812270366e-19,0.1,0.1,0
240000,0.7024294141360629,0.2975705858639372,0.0,0.0,1.9520991418930854e-24,0.0,0.1,0
280000,0.8706506452174583,0.12934935478254186,0.0,0.0,7.635041115732095e-29,0.0,0.1,0
320000,0.8381838252840267,0.16181617471597362,0.0,0.0,3.6413942644518346e-29,0.0,0.1,0
360000,0.8978592975707198,0.10214070242928021,0.0,0.0,4.4115351306134024e-30,0.0,0.1,0
400000,0.7647143820393437,0.2352856179606563,0.0,0.0,3.17008068846139e-30,0.0,0.1,0
440000,0.8487074891614265,0.15129251083857365,0.0,0.0,6.263124179147291e-31,0.0,0.1,0
480000,0.8610343665208612,0.1389656334791388,0.0,0.0,2.3457826722636533e-31,0.0,0.1,0
520000,0.5369642069925202,0.46303579300747977,0.0,0.0,5.257788748177154e-31,0.0,-0.1,4
560000,0.5996746812771921,0.40032531872280785,15.0,15.0,10.0,0.1,-0.1,0
600000,0.6188858089250772,0.3811141910749227,15.0,15.0,0.0,0.1,0.1,0
640000,0.616469125490214,0.383530874509786,15.0,15.0,0.8352695676097913,0.1,0.1,0
680000,0.5549039219548578,0.4450960780451422,15.0,15.0,1.2020435699921692,[0.07127862],-0.1,0
720000,0.5127831612803196,0.4872168387196804,15.0,15.0,1.2424803456325717,[0.00138587],[-0.03364002],0
760000,0.35476156523944413,0.6452384347605558,15.0,15.0,1.245701016393429,[6.70552194e-06],[-0.00259213],4
800000,0.23336215677343966,0.76663784322656,15.0,15.0,0.0,-0.1,0.1,6
840000,0.15222390383360973,0.8477760961663902,15.0,15.0,0.0,[0.08635207],0.0,0
880000,0.11753051314954545,0.8824694868504546,15.0,15.0,0.0,[0.09723282],0.0,0
920000,0.2896964974540306,0.7103035025459693,15.0,15.0,0.0,[0.08936274],0.0,0
960000,0.11461432353205797,0.8853856764679423,15.0,15.0,0.0,0.1,0.0,0
1000000,0.2914694059792171,0.7085305940207828,15.0,15.0,0.0,[0.00259058],0.0,0
1040000,0.7031987007463257,0.29680129925367416,15.0,15.0,0.0,[9.69684334e-08],0.0,3
1080000,0.6596399512336685,0.3403600487663314,15.0,15.0,8.515052593892088,-0.1,0.1,6
1120000,0.6217525942228147,0.3782474057771853,0.20865820861473772,0.20865820861473772,0.0005259102923664859,0.1,0.1,0
1160000,0.5581989519521869,0.44180104804781317,2.255931832451097e-06,2.255931832451097e-06,5.685538825981197e-09,0.1,0.1,0
1200000,0.6344727476728533,0.3655272523271465,3.455014052633487e-11,3.455014052633487e-11,8.710756606604137e-14,0.1,0.1,0
1240000,0.5603605279202314,0.43963947207976867,0.0,0.0,1.2712362288178473e-18,0.1,0.1,0
1280000,0.5911841818512016,0.4088158181487985,0.0,0.0,2.0770350550109368e-23,0.0,0.1,0
1320000,0.697157497783044,0.3028425022169561,0.0,0.0,2.5171519187152295e-28,0.0,0.1,0
1360000,0.646201228284137,0.353798771715863,0.0,0.0,4.358495019944978e-29,0.0,0.1,0
1400000,0.5664038978588168,0.4335961021411832,0.0,0.0,1.4638223135309625e-29,0.0,0.1,0
1440000,0.6794378094809784,0.3205621905190215,0.0,0.0,7.520756432832156e-30,0.0,0.1,0
1480000,0.6485560627798691,0.351443937220131,0.0,0.0,3.5579629792609795e-30,0.0,0.1,0
1520000,0.6365120764521631,0.363487923547837,0.0,0.0,5.230825728955733e-31,0.0,0.1,0
1560000,0.5891161123771551,0.41088388762284495,0.0,0.0,1.5869662741750823e-31,0.0,0.1,0
1600000,0.5580586339388741,0.4419413660611258,0.0,0.0,1.502225356622044e-31,0.0,[0.05339806],0
1640000,0.4347516615179359,0.5652483384820641,0.0,0.0,2.1454859580473807e-31,0.0,-0.1,4
1680000,0.4622071273800535,0.5377928726199466,15.0,15.0,0.0,0.1,0.1,0
1720000,0.37945517821869257,0.6205448217813075,15.0,15.0,0.0,0.1,0.0,0
1760000,0.43857726122755436,0.5614227387724453,15.0,15.0,0.0,[0.0496741],0.0,0
1800000,0.4379481291342552,0.5620518708657449,15.0,15.0,0.0,0.1,0.0,0
1840000,0.32781517245157643,0.6721848275484235,15.0,15.0,0.0,0.1,0.0,0
1880000,0.4407255589280985,0.5592744410719014,15.0,15.0,0.0,[0.00010437],0.0,0
1920000,0.8192375964500209,0.18076240354997894,15.0,15.0,0.0,[1.74733162e-09],0.0,3
1960000,0.5801005209684211,0.4198994790315788,15.0,15.0,7.584281080889845,-0.1,0.1,6
