,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL_LSAHDE,1,1,11,11,1,6,10,1,1,1,5,8,11,6,10,11,9,6,1,11,6,11,11,8,158
LSHADE44+IDE,1,1,10,2,1,10,8,11,1,11,1,1,1,10,8,9,10,8,7,8,9,10,9,10,157
LSAHDE44,1,1,9,2,1,9,6,1,1,1,1,6,9,9,9,10,6,3,7,9,8,8,10,9,136
UDE,1,1,6,10,1,4,3,10,1,10,7,8,8,6,7,6,8,10,1,7,1,7,7,7,137
LSAHDE_IEpsilon,1,1,8,2,1,7,4,1,1,1,9,1,10,1,4,6,2,4,1,10,1,5,8,2,91
$\epsilon$MA$g$ES,1,1,1,9,1,2,2,1,1,1,1,10,1,8,11,1,2,11,9,1,7,8,1,2,93
IUDE,1,1,7,2,1,8,5,1,1,1,6,1,1,1,4,5,7,9,1,1,1,2,4,6,77
CORCO,1,1,1,2,1,11,7,1,1,1,10,7,1,11,1,1,5,5,11,1,11,1,1,5,98
DeCODE,1,1,1,2,1,5,9,1,1,1,11,1,1,1,4,6,11,6,1,1,10,5,4,11,96
HECO-DE,1,1,1,2,1,3,11,1,1,1,8,1,1,1,2,1,2,2,1,6,1,2,4,2,57
HECO-ES,1,1,1,1,1,1,1,1,1,1,1,10,1,1,2,1,1,1,9,1,1,2,1,1,43
