,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CAL_LSAHDE,1,1,10,10,10,5,9,1,10,10,5,10,10,10,9,10,9,5,10,10,10,10,10,8,193
LSHADE44+IDE,1,1,9,6,1,10,5,10,1,9,4,6,7,9,7,8,8,7,7,7,9,9,8,9,158
LSAHDE44,1,1,8,2,1,9,6,1,1,1,3,4,6,8,8,9,6,3,6,8,7,8,9,7,123
UDE,1,1,5,9,8,3,3,9,1,8,7,7,8,6,6,7,7,9,3,6,5,6,6,6,137
LSAHDE_IEpsilon,1,1,7,2,1,8,4,1,1,1,9,4,9,1,3,5,2,4,2,9,1,5,7,4,92
MA_ES,1,1,1,8,1,2,2,1,1,1,1,8,1,7,10,1,2,10,9,1,6,7,1,2,85
IUDE,1,1,6,5,1,7,8,1,1,1,6,1,5,1,5,4,5,8,5,5,4,3,5,5,94
DeCODE,1,1,1,2,1,5,8,1,1,1,10,1,1,1,3,5,10,5,1,1,10,4,3,10,87
HECO-DE,1,1,1,2,1,6,10,1,1,1,8,1,1,1,1,1,4,2,1,4,1,1,3,2,56
HECO-ES,1,1,1,1,1,1,1,1,1,1,1,9,1,1,2,1,1,1,8,1,1,1,1,1,40
