3.439630761989917e-27,0.0,"(0, 0, 0)"
2.7919266549968897e-27,0.0,"(0, 0, 0)"
2.0458121500775415e-27,0.0,"(0, 0, 0)"
3.575955787173423e-27,0.0,"(0, 0, 0)"
2.9041051409096464e-27,0.0,"(0, 0, 0)"
3.237928889286219e-27,0.0,"(0, 0, 0)"
2.8422781674629496e-27,0.0,"(0, 0, 0)"
2.8912245214415846e-27,0.0,"(0, 0, 0)"
2.887526735948361e-27,0.0,"(0, 0, 0)"
3.0265757964452085e-27,0.0,"(0, 0, 0)"
3.075287957342606e-27,0.0,"(0, 0, 0)"
2.933182060838027e-27,0.0,"(0, 0, 0)"
2.9433386449927477e-27,0.0,"(0, 0, 0)"
2.5718344624402274e-27,0.0,"(0, 0, 0)"
3.386185435661193e-27,0.0,"(0, 0, 0)"
2.4419682359182184e-27,0.0,"(0, 0, 0)"
3.1657481164584967e-27,0.0,"(0, 0, 0)"
3.1445967834372583e-27,0.0,"(0, 0, 0)"
2.4214208745275398e-27,0.0,"(0, 0, 0)"
3.1449912138898688e-27,0.0,"(0, 0, 0)"
2.588757994047547e-27,0.0,"(0, 0, 0)"
3.2065223644971077e-27,0.0,"(0, 0, 0)"
2.3654487281117802e-27,0.0,"(0, 0, 0)"
3.1630487330484435e-27,0.0,"(0, 0, 0)"
2.4636619108117962e-27,0.0,"(0, 0, 0)"
