,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0.0242756,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,1.16E-05,0.02566725,0.0150159,0,0,0.001457734,0,0.0094791,0.00183862,0,0.186388823
6,0.0035614,4.06E-06,8.20E-06,0,0,0.006069334,0,9.38E-05,0,0.00070021,0
7,0,0,0,0,0,0,0,0,0,0,0
8,1070000,0,0,0,0,0,0,0,0,0,0.000160771
9,6.60E-06,0,0,0,0,0,0,0,0,0,0
10,2.40E-05,0,0,0.012479,0,14.98775922,0,0,57.00735566,4704.472,971.3192772
11,1.60E-07,0,0,0,0,0,0,0,0,0,0
12,4.00E-08,0,0,0,0,0,0,0,0,0,0
13,2.00E-06,0,0,0,0,0,0,0,0,0,310.1462664
14,201.143,0,1.59E-05,0,0,0,0.01327673,0,0,0,1.12604E-05
15,0.00883192,0,0,0,0,0,0,0,0,0,0
17,875956000,1329001.097,28380.4,313220,0,8.65E-06,0,3804,0,2752234800,694.6800995
19,0,0,0,0,0,0,0,0,0,0,0
20,4.00E-08,0,0,0,0,0,0,0,0,0,2.420098663
21,0.275674,0,0,0,0,0,0,0,0,0,0
22,0.00016036,0,0,0,0,0,0,0,0,0,0
23,14.7372,0,0,0,0,0,0,0,0,0,0
24,0.0233978,0,0,0,0,0,0,0,0,0,0
26,15200000,107628357.3,6884490,6044000,0,0,0,6569.7,0,23201848000,1137.231529
