,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,5.00E-05,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0.01378352,0.0113814,0,0,0,0,0.016265,0.0007634,0,0
6,7.50E-05,0,0,0,0,0.005264732,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0.000768,0,0,0.49896,0,40.01314603,0,24.608,100.681175,5082.5,996.7435927
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,1111.291761,0,0,0,0,0,0,0,0,0,0
15,0.003569,0,0,0,0,0,0,0,0,0,0
17,7205925.388,6901350.139,94555.4,4233900,0,0,0,11723,0,8926600000,3905.216725
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,11.41652772
21,0.272316,0,0,0,0,0,0,0,15.091945,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0.016543,0,0,0,0,0,0,0,0,0,0
24,0.000741,0,0,0,0,0,0,0,0,0,0
26,30744620.17,167117755.3,7685410,102720000,0,0,0,18311,0,81361000000,3131.061964
