,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,1.85E-29,3.90E-29,0,0,0,0,0
1,0,0,0,0,4.42E-28,3.99E-29,0,0,0,0,0
2,736404.8208,6583353.23,205874,74.683,6.86E-28,8.64E-29,0,139.45,4873.4221,0,0
3,113.424634,13.57278715,13.5728,77.606,0,13.57278715,63.677087,13.573,13.572787,13.573,13.57278715
4,0,0,0,0,0,0,0,0,0,0,0
5,3827.588288,4374.8908,5802.76,278.29,34.8,144.3758489,139.39218,391.86,451.4693,391.25,239.7497227
6,-32.589365,-80.77173403,-134.373,-570.01,-1230,-252.0879413,-656.91525,-252.71,-286.93531,-67.202,-114.1247064
7,-0.000284,-0.00027019,-0.00028398,-0.00028326,-0.000284,-0.000283981,-0.00028398,-0.00028398,-0.00028398,-0.00028398,-0.000283981
8,-0.002666,-0.00266551,-0.00266551,-0.0026655,-0.00267,-0.002665507,-0.00266551,-0.0026655,-0.00266551,-0.0026655,-0.002665468
9,-0.000103,-9.91E-05,-0.00010284,-0.00010236,-0.000103,-0.000102842,-0.00010284,-0.00010284,-0.00010284,-0.00010284,-0.000102842
10,-0.919556,-0.92476567,-0.924932,-25.6,-0.925,-364.0422229,-0.92493243,-0.66445,-591.99439,-2627.7,-2562.848447
11,9.775177,3.98252525,3.9853,9.7752,58.8,3.982543893,58.788937,3.9826,3.9832041,3.9825,6.931902332
12,145.149023,0,5.90726,3.9866,2.49E-27,0,0,0,80.599861,0,0
13,1.49544,1.8961748,1.83938,1.4954,1.41,1.408518126,1.6116511,1.4085,1.4085181,1.4085,2.143975483
14,23.638932,11.78098641,18.0642,8.6393,2.36,2.35612378,2.3642385,5.4977,5.4977164,5.4977,2.33815223
15,221.482144,144.5131309,150.796,6.283,0,0,0,1.5707,6.2830461,6.283,0
17,1500.362863,789.2455919,3046.34,359.62,35.8,36.52108023,36.520298,201.99,36.520733,36220,209.3467568
19,2.077242,2.28941637,1.4509,5.1506,1.15,1.2474766,7.82205,3.9144,1.929702,2.0806,1.978597256
20,9.7752,28.32621023,28.3261,9.7752,58.8,9.775221451,58.788937,9.7752,9.7764958,9.7752,218.6958242
21,17993.99769,477.517937,795.851,80.592,2.80E-28,0.068515784,0,0,1379.5001,0,0
22,1.492347,1.84825942,1.74065,1.4085,1.41,1.408519217,1.6475624,1.4085,1.4085761,2.0543,2.132479751
23,18.820565,14.92249933,11.7809,8.6393,2.36,2.35612378,11.780928,2.3561,5.4977166,5.4977,2.340077742
24,213.628161,139.8008989,146.084,12.566,3.72E-187,6.283046086,0,6.2832,25.132602,6.2831,0
26,2328.966746,115076.25,12362.7,758.57,35.8,36.52061249,36.520303,270.25,36.524904,100440,56.00000019
