,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0.977746,6.58268404,0,0.0017884,1.57E-27,5.96E-20,0,0,1.90E-07,0,0
1,0.366104,2.83629675,0,0.0015592,4.04E-26,6.86E-20,0,0,1.00E-07,0,0
2,15100000,224611428.2,2730180,742.2,4.30E-26,405.4754184,0,334460,166354.9959,0,0
3,413.582,14.02781694,13.7132,400.97,0,13.57278715,250.76827,283.98,14.4076006,85.85868,59.92659009
4,0.818836,0.00107078,3.28E-05,75.352,26.4,0.498327982,26.852766,0.63868,4.40142276,1.27451022,2.799050408
5,15222.9,15532.81803,15562.2,2529.2,120,826.6882713,805.51075,4041.8,3000.71624,2249.22,700.2835424
6,-193.458,-335.4899979,-302.689,-1637.7,-4270,-603.0678054,-2482.4684,-311.84,-477.0642516,0.667232,-229.6934018
7,0.0415975,0.00148247,-4.81E-05,0.0029686,-4.60E-05,0.002751701,-4.55E-05,8.33E-05,0.00167782,0.00241289,0.001704301
8,0.522499,-0.00014549,-0.00142654,0.24627,4.17E-12,0,3.0352696,0.33286,0.41805272,0,0
9,0.00051308,0.00042466,-1.72E-05,0.00055686,-1.57E-05,3.83E-05,-1.16E-06,3.70E-07,0.00015305,0.00058645,0.000475312
10,-13.7384,-2.83402632,-3.65106,-184.22,-4.9,-4188.198349,-6.670392,-7.5735,-7409.816388,-8948.564,-9174.87735
11,23.8996,7.01534467,32.5056,10.742,31.6,24.24635827,30.05054,14.723,18.84304046,24.16531999,11.054293
12,118844,71.76011697,80.7003,33781,40.6,123.3626678,41.435117,191.03,67.86898576,38.2776,20.48066118
13,0.79492,0.97672862,0.971842,0.91385,0.784,0.786570614,0.95810951,0.78798,0.8359023,0.9567824,1.091032478
14,30.8846,16.05348733,18.0641,18.064,2.49,5.890415515,8.6396764,15.551,16.1791312,12.28364,15.17170372
15,712.859,529.7353445,534.51,33.678,0,0,0,94.436,187.9927844,6.53438,0
17,16640.7,10090.62265,3436.37,8331.8,35.7,35.65564468,36.377005,589.31,37.86257468,198518,1113.4392
19,7.40385,11.48001692,9.36278,18.929,4.77,7.66824665,35.439617,17.246,8.83002018,8.399588,7.777806436
20,14.9419,29.54365564,31.5798,14.829,30.6,8.341237632,31.576839,7.9725,9.34422367,6.329048,1032.117694
21,263043,60691.90098,50364.5,55767,37.8,492.6271655,4231.3716,53662,787366.0512,333.91212,700.9444804
22,0.814437,0.95759779,0.969372,0.78542,0.784,0.785305375,0.96733514,0.79885,0.79280831,1.001458,0.875137279
23,22.8996,17.93844925,17.1845,18.064,2.49,5.497716433,9.3933247,15.676,18.06408728,5.874692,2.607078541
24,724.212,571.0158624,544.187,165.44,1.33E-108,19.76571456,0,288.65,503.4087056,31.98128,21.04849702
26,47247.7,140922.9463,36875,42246,35.7,55.06490708,76.770381,1434.4,383.3863694,629847.6,1161.127148
