,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,100,100,100,100,100,100,100,100,100,100,100
1,100,100,100,100,100,100,100,100,100,100,100
2,16,100,100,100,100,100,100,96,100,100,100
3,100,100,100,100,100,100,100,100,100,100,100
4,100,100,100,100,100,100,100,100,100,100,100
5,100,0,0,96,100,79,100,0,0,100,100
6,40,100,100,100,100,87,100,96,100,100,100
7,0,100,100,92,100,87,100,100,100,92,100
8,96,100,100,84,100,100,92,100,100,100,100
9,100,100,100,100,100,100,100,100,100,96,100
10,0,96,88,0,100,0,96,92,0,0,0
11,100,100,100,100,100,100,100,100,100,100,12
12,0,100,100,0,100,100,100,100,100,100,88
13,100,100,100,100,100,100,100,100,100,100,100
14,60,100,100,100,100,100,88,100,100,100,100
15,12,100,100,100,100,100,100,100,100,100,100
17,0,0,0,0,100,29,100,0,100,0,0
19,100,100,100,100,100,100,100,100,100,100,100
20,100,100,100,100,100,100,100,100,100,100,0
21,0,4,4,0,100,100,100,0,0,100,28
22,92,100,100,100,100,100,100,100,100,100,100
23,8,100,100,100,100,100,100,100,100,100,100
24,24,100,100,100,100,100,100,100,100,100,100
26,0,0,0,0,100,33,96,0,20,0,0
