,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0.000103,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0.03831125,0.0297021,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0.00011384,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0.0029969,0,0,0,0,0,0,509.7850443
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,5.79E-05,0,0,0,0.00654538,0,0,0,2.71313E-05
15,5.10E-05,0,0,0,0,0,0,0,0,0,0
17,971839.4528,82329.90746,3326.34,5453.1,0,0,0,0.1167314,0,141610000,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
23,0.00468,0,0,0,0,0,0,0,0,0,5.38957E-05
24,0,0,0,0,0,0,0,0,0,0,0
26,1959116.577,368426.7378,10300.5,8047.6,0,0,0,276.13,0,412730000,104.4129233
