,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,1.40E-28,6.40E-28,0,0,0,0,0
1,0,0,0,0,2.92E-27,5.72E-28,0,0,0,0,0
2,4381259.216,26463860.44,633683,81.182,3.92E-27,74.68233368,0,524.04,16353.942,0,0
3,181.081674,13.57278715,13.5728,144.27,0,13.57278715,113.42478,65.511,13.572787,13.573,13.57278715
4,0,0,0,13.659,0,1.07E-27,0,0,0,0,0
5,6041.018996,10223.81067,8636.68,656.59,54.7,326.1228643,244.13912,727.25,825.24173,651.78,370.1948115
6,-85.989214,-134.7109835,-173.813,-1002.8,-2080,-295.1418531,-1437.2557,45.9,-307.19748,-84.729,-28.74195568
7,0.000965,0.00028683,-0.00013454,0.00011063,-0.000135,-0.000134512,-0.00013453,-0.00013451,-0.00011413,-0.00013343,-0.000133246
8,-0.002037,-0.00174817,-0.00203709,-0.0020371,-0.00204,-0.002037092,-0.00203441,-0.0020371,-0.00203709,1.6486,-0.002037092
9,-4.50E-05,8.66E-05,-4.83E-05,1.54E-05,-4.77E-05,-4.83E-05,-4.83E-05,-4.83E-05,-4.79E-05,-4.82E-05,-4.81624E-05
10,-7.725566,-1.98611363,-2.01053,-200.85,-2.01,-1777.859246,-2.0094091,-1030.2,-2782.1004,-4527.3,-4418.051555
11,17.938526,7.06834711,62.309,17.938,62.2,3.981473595,62.16666,7.0684,20.449822,17.938,9.068038385
12,19138.95673,99.25066793,35.1038,1161.8,3.15E-27,9.61E-26,0,0,4.00E-08,0,0
13,1.152444,1.46648662,1.41408,1.1855,1.1,1.099952446,1.3472698,1.1,1.0999524,1.1,1.593865149
14,30.432831,14.92249439,18.0641,11.781,2.36,2.35612378,14.922501,2.3561,8.6393091,5.4977,2.352090702
15,334.568619,252.8980889,252.898,12.566,0,0,0,6.2831,18.849417,6.283,0
17,2532.768976,10897.97393,18228.7,1802,35.7,36.46957147,36.469314,447.78,36.485643,78052,485.3549346
19,3.586492,4.59348776,3.21501,7.8637,2.3,2.64910002,15.25896,8.6812,3.4869526,3.7374,3.556412574
20,17.938513,62.1677897,62.1737,3.9814,62.2,7.06921358,62.16666,7.0683,7.0693389,17.938,418.6354131
21,51633.34227,4444.120479,4797.18,2834.6,6.57E-28,23.92224343,1142.273,370.73,147530.8,16.354,7.794437561
22,1.124193,1.37689449,1.34247,1.1,1.1,1.099953672,1.3350738,1.1,1.1001334,1.6128,1.6194119
23,20.491141,14.92252376,14.9225,11.781,2.36,2.35612378,11.780972,2.3561,8.6393091,5.4977,2.348748215
24,347.144603,257.6104775,245.044,25.133,6.60E-150,6.283046086,0,6.2831,75.398112,6.2831,0
26,5995.699913,24149.5,108464,7675.5,35.7,36.4703127,36.469314,476.28,36.480359,256510,526.959779
