,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE,CORCO
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0.0694317,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,1.02E-05,0.01524502,0.0116928,0,0,0.000301222,0,0.016114,0.00093797,0,0.013022742
6,0.00180008,0,0,0,0,0.011039199,0,8.34E-05,0,0,0
7,3.48E-06,0,0,0,0,0,0,0,0,0,0
8,14700000,0,0,0,0,0,0,0,0,0,8.75763E-05
9,0,0,0,0,0,0,0,0,0,0,0
10,0.0373406,0,0,0.436,0,40.57425037,2.26E-06,48.309,108.5466502,4638.664,1096.119755
11,0,0,0,0,0,0,0,0,0,0,0
12,0.275684,0,0,0,0,0,0,0,0,0,0
13,6.00E-06,0,0,0,0,0,0,0,0,0,0
14,1465.15,0,0,0,0,0,0.00204615,0,0,0,0
15,0.0170548,0,0,0,0,0,0,0,0,0,0
17,24896100,8957592.055,223777,63200000,0,0.000182751,0,11670,0,8401908000,3596.494434
19,5.20E-07,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,11.52837702
21,3.47373,0,0.0100744,0.067474,0,0,0,0,18.11456172,0,0
22,9.38E-05,0,0,0,0,0,0,0,0,0,0
23,1.24862,0,0,0,0,0,0,0,0,0,0
24,0.0165844,0,0,0,0,0,0,0,0,0,0
26,48200000,199866658.9,13416100,258330000,0,0.878612079,0,17909,0,1.00484E+11,3381.017016
