vMA-ESbm,,,eMAgES,,,IUDE,,,CORCO,,,DECODE,,
4.45E-28,6.80E-29,0.00E+00,3.75E-28,7.20E-29,0.00E+00,4.13E-29,2.26E-29,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.18E-28,1.14E-28,0.00E+00,3.76E-28,7.26E-29,0.00E+00,4.42E-29,2.58E-29,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
8.20E-28,1.37E-28,0.00E+00,6.73E-28,1.07E-28,0.00E+00,1.29E+02,2.95E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.65E+01,7.06E+00,0.00E+00,7.03E+01,3.11E+01,0.00E+00,1.37E+01,1.45E-06,0.00E+00,1.37E+01,4.69E-01,0.00E+00,1.37E+01,4.69E-01,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.71E-29,9.91E-29,0.00E+00,1.59E-01,7.97E-01,0.00E+00,1.59E-01,7.97E-01,0.00E+00
6.47E+01,5.26E+01,0.00E+00,1.80E+02,9.96E+01,0.00E+00,4.29E+02,9.01E+01,9.48E-03,1.77E+02,1.35E+02,1.86E-01,6.60E+02,1.45E+03,4.73E-02
-1.03E+03,1.13E+02,0.00E+00,-7.01E+02,2.32E+02,0.00E+00,-3.27E+02,1.14E+02,9.38E-05,-9.20E+01,1.21E+02,0.00E+00,-9.04E+01,1.84E+02,7.57E-04
-2.84E-04,3.83E-16,0.00E+00,-2.84E-04,3.94E-16,0.00E+00,-2.84E-04,1.25E-12,0.00E+00,-2.84E-04,0.00E+00,0.00E+00,-2.84E-04,0.00E+00,0.00E+00
-2.67E-03,0.00E+00,0.00E+00,-2.67E-03,0.00E+00,0.00E+00,-2.67E-03,0.00E+00,0.00E+00,-2.11E-03,1.04E-03,1.61E-04,-2.67E-03,0.00E+00,0.00E+00
-1.03E-04,0.00E+00,0.00E+00,-1.03E-04,0.00E+00,0.00E+00,-1.03E-04,5.06E-15,0.00E+00,-1.03E-04,0.00E+00,0.00E+00,-1.03E-04,0.00E+00,0.00E+00
-9.14E-01,5.40E-02,0.00E+00,-9.25E-01,7.03E-15,0.00E+00,-5.41E-01,7.36E+00,5.71E-11,-2.56E+03,4.83E+01,9.71E+02,-2.82E+03,3.24E+01,9.47E+03
2.37E+01,2.44E+01,0.00E+00,4.61E+01,2.97E+01,0.00E+00,3.98E+00,1.07E-04,0.00E+00,6.89E+00,4.97E-01,0.00E+00,3.98E+00,2.31E-05,0.00E+00
1.85E-24,1.90E-24,0.00E+00,2.89E-27,1.89E-27,0.00E+00,3.54E+00,1.61E+01,0.00E+00,1.59E-01,7.97E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.41E+00,9.84E-12,0.00E+00,1.63E+00,9.17E-02,0.00E+00,1.41E+00,1.05E-15,0.00E+00,3.23E+00,4.41E+00,3.10E+02,1.41E+00,0.00E+00,0.00E+00
2.36E+00,1.01E-05,0.00E+00,6.75E+00,5.94E+00,1.33E-02,5.87E+00,3.55E+00,0.00E+00,2.34E+00,6.10E-03,1.13E-05,5.37E+00,1.10E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E+00,5.12E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.28E+00,8.58E-06,0.00E+00
3.65E+01,6.62E-06,0.00E+00,3.65E+01,1.39E-01,0.00E+00,1.81E+02,4.83E+01,3.80E+03,1.72E+02,8.60E+01,6.95E+02,2.77E+04,1.05E+04,5.14E+09
7.65E+00,3.40E-01,0.00E+00,7.66E+00,1.24E+00,0.00E+00,3.89E+00,2.83E-01,0.00E+00,2.08E+00,3.71E-01,0.00E+00,2.48E+00,5.31E-01,0.00E+00
3.50E+01,2.29E+01,0.00E+00,4.84E+01,1.58E+01,0.00E+00,1.65E+01,1.09E+01,0.00E+00,2.07E+02,3.51E+01,2.42E+00,1.57E+01,8.83E+00,0.00E+00
5.16E-24,1.05E-23,0.00E+00,2.47E-25,2.97E-26,0.00E+00,3.72E+01,3.50E+01,0.00E+00,4.78E-01,1.32E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.41E+00,3.02E-11,0.00E+00,1.65E+00,8.73E-02,0.00E+00,1.43E+00,3.79E-02,0.00E+00,2.08E+00,2.15E-01,0.00E+00,1.75E+00,3.89E-01,0.00E+00
5.75E+00,2.01E+00,0.00E+00,9.14E+00,3.92E+00,0.00E+00,2.48E+00,6.28E-01,0.00E+00,2.34E+00,7.03E-03,0.00E+00,4.62E+00,1.44E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.73E+00,4.95E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.28E+00,1.24E-05,0.00E+00
3.65E+01,2.14E-03,0.00E+00,3.66E+01,1.93E-01,0.00E+00,2.79E+02,5.92E+01,6.57E+03,9.55E+01,8.19E+01,1.14E+03,1.06E+05,4.37E+04,7.38E+10
