,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Best,1.08E-21,3.92E-22,298.7050945,13.57278715,9.00E-25,772.3811889,-923.38998,0.000245396,0,-1.24E-05,-4636.493705,3.980642976,33.76712134,0.784201609,5.497716433,0,1.099999975,31.59023792,0,6.292810528,3.980642995,81.58886752,0.784203876,5.497716433,12.56623139,-1.27E+51,24.33548417,5.620306198
Median,2.91E-20,1.37E-20,416.6420624,13.57278715,8.31E-15,819.484785,-570.5014611,0.000659285,0,3.55E-05,-4174.156735,31.59687078,72.14046482,0.784466473,5.497716433,0,1.099999975,35.93183343,0,7.421371525,4.504658376,480.8705715,0.784206134,5.497716433,18.8494167,-1.15E+51,32.03311552,12.7573659
v,0,0,0,0,0,0,0,0,0,0,54.22810454,0,0,0,0,0,50.5,0.000171937,72969.51376,0,0,0,0,0,0,50.5,0.011230214,72998.27132
mean,5.96E-20,6.86E-20,405.4754184,13.57278715,0.498327982,826.6882713,-603.0678054,0.002751701,0,3.83E-05,-4188.198349,24.24635827,123.3626678,0.786570614,5.890415515,0,1.099999975,35.65564468,0,7.66824665,8.341237632,492.6271655,0.785305375,5.497716433,19.76571456,-1.14E+51,55.06490708,12.68485381
Worst,5.65E-19,1.05E-18,526.0772366,13.57278715,3.986623854,901.0846768,-371.418759,0.019688895,0,0.000112902,-3851.150547,32.13603793,337.591494,0.805166891,8.639309087,0,1.099999977,40.21734996,0,10.16535381,39.65600632,1343.708728,0.810585114,5.497716433,31.41578731,-8.53E+50,229.9034266,19.89256927
std,1.13E-19,2.12E-19,58.6068007,5.68E-14,1.34680896,40.53228342,147.8025285,0.005701627,0,2.47E-05,272.0656335,10.28533017,102.1446469,0.00470451,1.061330411,0,4.25E-10,1.598967545,0,1.022949677,8.072959334,285.3568541,0.005384562,0,6.161058478,9.89E+49,51.25560658,3.999838357
SR,100,100,100,100,100,79,87,87,100,100,0,100,100,100,100,100,0,29,0,100,100,100,100,100,100,0,33,0
vio,0,0,0,0,0,0.001904991,0.000204011,3.32E-06,0,0,71.45748842,0,0,0,0,0,50.5,0.001074602,72969.51376,0,0,0,0,0,0,50.5,4.392701891,72997.88373
,Best,Median,v,mean,Worst,std,SR,vio,,,,,,,,,,,,,,,,,,,,
1,1.08E-21,2.91E-20,0,5.96E-20,5.65E-19,1.13E-19,100,0,,,,,,,,,,,,,,,,,,,,
2,3.92E-22,1.37E-20,0,6.86E-20,1.05E-18,2.12E-19,100,0,,,,,,,,,,,,,,,,,,,,
3,298.7050945,416.6420624,0,405.4754184,526.0772366,58.6068007,100,0,,,,,,,,,,,,,,,,,,,,
4,13.57278715,13.57278715,0,13.57278715,13.57278715,5.68E-14,100,0,,,,,,,,,,,,,,,,,,,,
5,9.00E-25,8.31E-15,0,0.498327982,3.986623854,1.34680896,100,0,,,,,,,,,,,,,,,,,,,,
6,772.3811889,819.484785,0,826.6882713,901.0846768,40.53228342,79,0.001904991,,,,,,,,,,,,,,,,,,,,
7,-923.38998,-570.5014611,0,-603.0678054,-371.418759,147.8025285,87,0.000204011,,,,,,,,,,,,,,,,,,,,
8,0.000245396,0.000659285,0,0.002751701,0.019688895,0.005701627,87,3.32E-06,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
10,-1.24E-05,3.55E-05,0,3.83E-05,0.000112902,2.47E-05,100,0,,,,,,,,,,,,,,,,,,,,
11,-4636.493705,-4174.156735,54.22810454,-4188.198349,-3851.150547,272.0656335,0,71.45748842,,,,,,,,,,,,,,,,,,,,
12,3.980642976,31.59687078,0,24.24635827,32.13603793,10.28533017,100,0,,,,,,,,,,,,,,,,,,,,
13,33.76712134,72.14046482,0,123.3626678,337.591494,102.1446469,100,0,,,,,,,,,,,,,,,,,,,,
14,0.784201609,0.784466473,0,0.786570614,0.805166891,0.00470451,100,0,,,,,,,,,,,,,,,,,,,,
15,5.497716433,5.497716433,0,5.890415515,8.639309087,1.061330411,100,0,,,,,,,,,,,,,,,,,,,,
16,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
17,1.099999975,1.099999975,50.5,1.099999975,1.099999977,4.25E-10,0,50.5,,,,,,,,,,,,,,,,,,,,
18,31.59023792,35.93183343,0.000171937,35.65564468,40.21734996,1.598967545,29,0.001074602,,,,,,,,,,,,,,,,,,,,
19,0,0,72969.51376,0,0,0,0,72969.51376,,,,,,,,,,,,,,,,,,,,
20,6.292810528,7.421371525,0,7.66824665,10.16535381,1.022949677,100,0,,,,,,,,,,,,,,,,,,,,
21,3.980642995,4.504658376,0,8.341237632,39.65600632,8.072959334,100,0,,,,,,,,,,,,,,,,,,,,
22,81.58886752,480.8705715,0,492.6271655,1343.708728,285.3568541,100,0,,,,,,,,,,,,,,,,,,,,
23,0.784203876,0.784206134,0,0.785305375,0.810585114,0.005384562,100,0,,,,,,,,,,,,,,,,,,,,
24,5.497716433,5.497716433,0,5.497716433,5.497716433,0,100,0,,,,,,,,,,,,,,,,,,,,
25,12.56623139,18.8494167,0,19.76571456,31.41578731,6.161058478,100,0,,,,,,,,,,,,,,,,,,,,
26,-1.27E+51,-1.15E+51,50.5,-1.14E+51,-8.53E+50,9.89E+49,0,50.5,,,,,,,,,,,,,,,,,,,,
27,24.33548417,32.03311552,0.011230214,55.06490708,229.9034266,51.25560658,33,4.392701891,,,,,,,,,,,,,,,,,,,,
28,5.620306198,12.7573659,72998.27132,12.68485381,19.89256927,3.999838357,0,72997.88373,,,,,,,,,,,,,,,,,,,,
