,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Best,0,0,0,0,0,0,-474.4259346,-0.0013484,-0.004975247,-0.000509647,-1.733707577,3.987902748,0,2.37633241,2.35612378,0,1.00997096,36.59769301,0,0.094734445,3.987902462,0,2.376332411,2.35612378,1.570657106,-53753.88045,10,9.55E-20
Median,0,0,0,0,0,0,-474.4259344,-0.0013484,-0.004975247,-0.000509647,-0.168818638,3.988257964,0,2.37633241,2.35612378,0,1.009997054,36.59773349,0,0.199292198,3.987902464,2.49E-30,2.376332456,2.35612378,1.570657125,-53752.27768,36.59770328,3.26E-11
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,6633.59216,0,0,0,0,0,0,5.5,0,6633.59216
mean,0,0,0,2.827663989,0,0,-474.4259324,-0.0013484,-0.004975247,-0.000509647,-0.456034825,3.988416532,0,2.378570366,2.35612378,0,1.009995402,36.59780691,0,0.213614682,3.98790247,0.166107463,2.3763325,2.356123882,1.570657202,-51495.42028,35.48948057,4.51E-09
Worst,0,0,0,13.57278715,0,0,-474.4258945,-0.0013484,-0.004975247,-0.000509647,-0.021187601,3.98980752,0,2.42987102,2.35612378,0,1.010000709,36.5981563,0,0.37143066,3.987902553,3.986579112,2.376332821,2.356124464,1.570657704,1.024171685,36.59783872,3.67E-08
std,0,0,0,5.630685909,0,0,8.14E-06,0,0,1.02E-15,0.562171005,0.000602527,0,0.01092705,1.17E-15,0,6.46E-06,0.000158053,0,0.07777012,1.91E-08,0.813757054,1.18E-07,1.97E-07,1.64E-07,10968.86318,5.429236626,1.14E-08
SR,100,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0
vio,0,0,0,0,0,0,0,0,0,0,1.50E-09,0,0,0,0,0,4.500164526,0,6633.59216,0,0,0,0,0,0,5.458333333,0,6633.59216
,Best,Median,v,mean,Worst,std,SR,vio,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
4,0,0,0,2.827663989,13.57278715,5.630685909,100,0,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
7,-474.4259346,-474.4259344,0,-474.4259324,-474.4258945,8.14E-06,100,0,,,,,,,,,,,,,,,,,,,,
8,-0.0013484,-0.0013484,0,-0.0013484,-0.0013484,0,100,0,,,,,,,,,,,,,,,,,,,,
9,-0.004975247,-0.004975247,0,-0.004975247,-0.004975247,0,100,0,,,,,,,,,,,,,,,,,,,,
10,-0.000509647,-0.000509647,0,-0.000509647,-0.000509647,1.02E-15,100,0,,,,,,,,,,,,,,,,,,,,
11,-1.733707577,-0.168818638,0,-0.456034825,-0.021187601,0.562171005,70,1.50E-09,,,,,,,,,,,,,,,,,,,,
12,3.987902748,3.988257964,0,3.988416532,3.98980752,0.000602527,100,0,,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
14,2.37633241,2.37633241,0,2.378570366,2.42987102,0.01092705,100,0,,,,,,,,,,,,,,,,,,,,
15,2.35612378,2.35612378,0,2.35612378,2.35612378,1.17E-15,100,0,,,,,,,,,,,,,,,,,,,,
16,0,0,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,
17,1.00997096,1.009997054,4.5,1.009995402,1.010000709,6.46E-06,0,4.500164526,,,,,,,,,,,,,,,,,,,,
18,36.59769301,36.59773349,0,36.59780691,36.5981563,0.000158053,100,0,,,,,,,,,,,,,,,,,,,,
19,0,0,6633.59216,0,0,0,0,6633.59216,,,,,,,,,,,,,,,,,,,,
20,0.094734445,0.199292198,0,0.213614682,0.37143066,0.07777012,100,0,,,,,,,,,,,,,,,,,,,,
21,3.987902462,3.987902464,0,3.98790247,3.987902553,1.91E-08,100,0,,,,,,,,,,,,,,,,,,,,
22,0,2.49E-30,0,0.166107463,3.986579112,0.813757054,100,0,,,,,,,,,,,,,,,,,,,,
23,2.376332411,2.376332456,0,2.3763325,2.376332821,1.18E-07,100,0,,,,,,,,,,,,,,,,,,,,
24,2.35612378,2.35612378,0,2.356123882,2.356124464,1.97E-07,100,0,,,,,,,,,,,,,,,,,,,,
25,1.570657106,1.570657125,0,1.570657202,1.570657704,1.64E-07,100,0,,,,,,,,,,,,,,,,,,,,
26,-53753.88045,-53752.27768,5.5,-51495.42028,1.024171685,10968.86318,0,5.458333333,,,,,,,,,,,,,,,,,,,,
27,10,36.59770328,0,35.48948057,36.59783872,5.429236626,100,0,,,,,,,,,,,,,,,,,,,,
28,9.55E-20,3.26E-11,6633.59216,4.51E-09,3.67E-08,1.14E-08,0,6633.59216,,,,,,,,,,,,,,,,,,,,
